"","Report date","Company code","Fiscal year","Earnings","Cash Flow","Leverage Ratio(Book-based)","Leverage Ration(Market-based)"
"1",2011-05-31,1004,2010,69.826,-21.964,0.201838087909624,NA
"2",2012-05-31,1004,2011,67.723,10.835,0.36058794354117,3179.62248995984
"3",2013-05-31,1004,2012,55,6.40000000000001,0.331601853151762,NA
"4",2014-05-31,1004,2013,72.9,13,0.288247328938395,NA
"5",2015-05-31,1004,2014,10.2,-31.9,0.101650165016502,NA
"6",2016-05-31,1004,2015,47.7,-23.2,0.102697455100201,NA
"7",2017-05-31,1004,2016,56.5,-20.4,0.104580812445981,NA
"8",2011-03-31,1072,2010,244.003,-37.244,0,0
"9",2012-03-31,1072,2011,152.805,16.605,0,0
"10",2013-03-31,1072,2012,-64.312,92.204,0,0
"11",2014-03-31,1072,2013,127.037,-26.623,0,0
"12",2015-03-31,1072,2014,225.871,-74.778,0,0
"13",2016-03-31,1072,2015,101.535,71.796,0,0
"14",2017-03-31,1072,2016,125.785,125.332,0,0
"15",2011-04-30,1082,2010,-2.319,0.202,0.230059478420009,5.95069033530572
"16",2011-03-31,1210,2010,2.138,-3.263,0.000233774582858479,0.156862745098039
"17",2012-03-31,1210,2011,1.35,-0.702,0,NA
"18",2013-03-31,1210,2012,1.67,3.383,0,NA
"19",2014-03-31,1210,2013,1.467,-5.439,0,0
"20",2015-03-31,1210,2014,2.484,10.406,0.115058910162003,0.947149081265391
"21",2016-03-31,1210,2015,4.414,-8.045,9.58680855143323e-05,0.000517812758906379
"22",2017-03-31,1210,2016,-3.214,-2.566,0.281824443253999,4.00805398345668
"23",2011-03-31,1393,2010,183.575,131.107,0.334719936094311,1.34494530129988
"24",2012-03-31,1393,2011,205.367,-25.102,0.319337067857658,1.36428736661991
"25",2013-03-31,1393,2012,264.708,107.1,0.313165621459009,1.08569209200106
"26",2014-03-31,1393,2013,342.391,31.545,0.323781650807854,1.21407605386951
"27",2015-03-31,1393,2014,356.741,-42.5,0.31880285353618,1.23735965209534
"28",2016-03-31,1393,2015,489.001,174.536,0.329879611936361,1.33544951680588
"29",2017-03-31,1393,2016,398.424,99.3000000000001,0.346899373155401,1.48994104401995
"30",2011-03-31,1554,2010,42.817,25.232,0.0210236084783733,0.0473102175628151
"31",2012-03-31,1554,2011,21.422,-35.775,0.0177119726655688,0.031181583681963
"32",2013-03-31,1554,2012,17.454,16.049,0.0156440420822245,0.0351972500899317
"33",2014-03-31,1554,2013,15.117,21.725,0.0109788295023558,0.0232045342376335
"34",2015-03-31,1554,2014,0.979,6.692,0,0
"35",2016-03-31,1554,2015,-3.249,12.736,0,0
"36",2011-04-30,1562,2010,7.364,2.198,0,0
"37",2012-04-30,1562,2011,11.343,15.183,0,0
